37.61206	112.3556	66434
26.02885	119.41859	875.59
36.37817	119.02704	800
36.4478	119.33054	800
31.27855	121.54131	726.4
31.21475	121.46834	726.39
39.8018	119.55341	600
26.10057	119.32042	598.25
46.49981	125.02294	567.2
26.10057	119.32042	531.58
42.7954	124.11173	528.14
26.06326	119.21229	472.91
33.43757	117.02975	465.85
33.52272	117.18128	432.95
33.50583	117.01957	428.09
25.80414	118.92673	416.64
27.42694	101.50731	416
26.06126	119.18431	408.3
25.80383	118.92682	407.11
23.87297	106.60029	406.64
26.00087	119.46477	387.64
26.01853	119.45275	385.39
25.99892	119.29691	378.82
26.01853	119.45275	374.46
26.04846	119.20538	366.38
39.77477	98.28908	356.23
28.02108	107.72878	354.6
26.00087	119.46477	354.31
25.97718	119.22371	353.14
25.93667	119.25984	350.53
39.24782	121.2346	350
39.31485	121.10339	350
39.63127	121.2346	350
39.81166	120.00446	350
18.75104	109.25061	347.82
26.11437	119.26345	347.56
25.9362	119.25975	343.12
25.98351	119.34902	341.74
33.61491	117.09979	340.5
26.0776	119.17032	317.39
22.92488	106.71216	316.71
23.32011	116.35426	312
26.00812	119.40781	304.21
26.12069	119.20251	296.63
28.26251	112.96157	289
26.04306	119.37588	287.96
26.03616	119.29712	286.31
26.07328	119.35271	284.62
26.11414	119.26336	280.89
26.09063	119.30053	276.94
26.05894	119.3745	267.56
26.03614	119.29704	261.12
26.0611	119.27502	254.25
25.99304	119.36907	250.57
26.0776	119.17049	250.28
